,0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,4,5,6,7,8,9
0,73,0,4,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,10,0,0,0,0
1,0,79,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0
10,0,2,69,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,6,1,2,2,0,1,5,0,0,1,2,0
11,1,0,0,71,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1
12,0,0,0,0,90,0,1,0,3,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
13,0,2,0,0,10,78,0,1,1,3,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,1,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
15,0,2,0,0,1,1,0,87,0,2,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,0,0,0,0,1,0,0,2,82,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0
17,0,0,0,0,0,0,0,2,0,87,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
18,0,0,0,0,0,0,0,0,0,1,91,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,0,0,0,0,1,0,0,0,0,0,0,95,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,16,0,0,0,0,9,0,0,0,0,0,33,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,28,0,0,2,0,0,0,8,0
20,3,0,0,1,0,0,0,0,0,2,1,0,0,60,0,1,7,1,0,4,0,1,0,0,0,1,1,0,0,0,1,0,12,0,3,0,1
21,1,0,9,0,0,0,3,0,0,0,0,1,1,0,72,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,5,0
22,0,0,0,0,4,0,1,0,0,0,0,2,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,1
23,0,0,1,0,0,0,0,2,0,1,0,0,0,4,0,0,79,1,0,8,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0
24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,85,0,1,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0
25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,6,0
26,0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,0,6,0,1,49,1,2,1,0,0,2,3,1,0,0,0,0,1,26,0,0,0
27,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,10
28,0,1,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,87,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0
29,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,80,0,0,0,0,0,0,0,8,1,0,0,3,0
30,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,2,2,0,0,0,0,2,0,0
31,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,86,0,1,0,0,0,1,0,0,1,4,0
32,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,2,0,0,0,0,0,75,1,0,0,0,0,1,10,1,0,0
33,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87,0,0,0,0,0,0,0,2,0
34,0,16,0,0,0,0,1,1,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,45,0,0,2,0,0,1,9,0
35,0,0,0,0,2,1,0,6,3,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,77,3,0,0,0,0,1,1
36,0,0,0,0,3,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,85,1,0,1,0,0,0
4,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,6,0,2,1,0,1,0,0,79,0,0,0,2,0
5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,90,0,0,0,0
6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,74,1,0,0
7,0,2,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,75,1,1
8,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,1,2,0,0,1,0,0,0,85,0
9,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,69
